Comment,Designator,Footprint,LCSC,Quantity
10uF,C30,C_0402_1005Metric,,1
47k,R1003,R_0402_1005Metric,,1
NC,R7,R_0402_1005Metric,,1
33,R86,R_0402_1005Metric,,1
SW_DIP_x03,SW3,SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile,,1
2.49k,R16,R_0402_1005Metric,,1
2.49k,R55,R_0402_1005Metric,,1
0.1uF,C52,C_0402_1005Metric,,1
0R,C78,C_0402_1005Metric,,1
1.5uH,L4,L_NR2520xx,,1
0.1uF,C10,C_0402_1005Metric,,1
0.1uF,C21,C_0402_1005Metric,,1
4.7k,R41,R_0402_1005Metric,,1
33,R75,R_0402_1005Metric,,1
LED_GREEN,D3,LED_0603_1608Metric,,1
0.1uF,C20,C_0402_1005Metric,,1
NC,C79,C_0402_1005Metric,,1
"10k,1%",R5,R_0402_1005Metric,,1
10uF,C47,C_0402_1005Metric,,1
5.1k,R1002,R_0402_1005Metric,,1
XC6206-2.8,U5,SOT-23,,1
0R,L1001,L_0402_1005Metric,,1
5.1k,R69,R_0402_1005Metric,,1
33,R8,R_0402_1005Metric,,1
1uF,C13,C_0402_1005Metric,,1
1uF,C34,C_0402_1005Metric,,1
RJ45_HR911130A,J10,RJ45_HR911130A,,1
33,R9,R_0402_1005Metric,,1
SW_Push,SW2,SW-3x6mm_Hxx_SMD,,1
10uF,C68,C_0402_1005Metric,,1
1uF,C71,C_0402_1005Metric,,1
5.1k,R21,R_0402_1005Metric,,1
10uH,L1,L_NR3015,,1
Conn_02x05_Odd_Even,J1,PinHeader_2x05_P1.27mm_Vertical_SMD,,1
0.1uF,C6,C_0402_1005Metric,,1
1uF,C73,C_0402_1005Metric,,1
"20k,1%",R29,R_0402_1005Metric,,1
0.1uF,C64,C_0402_1005Metric,,1
OV5640,J7,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,,1
NC,X1,OSC_3225,,1
0.1uF,C11,C_0402_1005Metric,,1
220pF,C28,C_0402_1005Metric,,1
1uF,C50,C_0402_1005Metric,,1
YT8531C,U1,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,,1
1uF,C1012,C_0402_6mil,,1
1.5uH,L3,L_NR2520xx,,1
0.1uF,C48,C_0402_1005Metric,,1
NC,R52,R_0402_1005Metric,,1
8.06k,R89,R_0402_1005Metric,,1
XC6206-1.5,U8,SOT-23,,1
2.49k,R56,R_0402_1005Metric,,1
33,R74,R_0402_1005Metric,,1
4.3pF,C14,C_0402_6mil,,1
5.1k,R1001,R_0402_1005Metric,,1
0,R6,R_0402_1005Metric,,1
"10,1%",R65,R_0402_1005Metric,,1
Antenna_Shield,AE1001,Texas_SWRA117D_2.4GHz_Left,,1
0.1uF,C9,C_0402_1005Metric,,1
5.1k,R62,R_0402_1005Metric,,1
5.1k,R54,R_0402_1005Metric,,1
USB_C_Receptacle_USB2.0_16P,J2,USB_C_Receptacle_16P,,1
33,R70,R_0402_1005Metric,,1
USB_C_Receptacle_USB2.0_16P,J1001,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,1
5.1k,R68,R_0402_1005Metric,,1
10k,R80,R_0402_1005Metric,,1
10uF,C4,C_0402_1005Metric,,1
5.1k,R40,R_0402_1005Metric,,1
1N5819(S4),D8,D_SOD-323_BAT60,,1
10uF,C27,C_0402_1005Metric,,1
"4.7uH,MPL2012S4R7MHT",L2,L_0805_2012Metric,,1
"33k,1%",R30,R_0402_1005Metric,,1
5.1k,R48,R_0402_1005Metric,,1
10uF,C31,C_0402_1005Metric,,1
NC,C1002,C_0402_1005Metric,,1
1uF,C40,C_0402_1005Metric,,1
5.1k,R43,R_0402_1005Metric,,1
10uF,C37,C_0402_1005Metric,,1
0.1uF,C18,C_0402_1005Metric,,1
10uF,C33,C_0402_1005Metric,,1
33,R87,R_0402_1005Metric,,1
Conn_02x10_Odd_Even,CY_J2,PinSocket_2x10_P2.54mm_Vertical,,1
33,R83,R_0402_1005Metric,,1
1uF,C70,C_0402_1005Metric,,1
5.1k,R77,R_0402_1005Metric,,1
0.1uF,C66,C_0402_1005Metric,,1
NC,C1011,C_0402_6mil,,1
5.1k,R61,R_0402_1005Metric,,1
33,R85,R_0402_1005Metric,,1
26M,Y1,OSC_2016,,1
SW_Push,SW4,SW-3x6mm_Hxx_SMD,,1
1uF,C1008,C_0402_1005Metric,,1
10uF,C41,C_0402_1005Metric,,1
SY7201ABC,U4,SOT-23-6,,1
5.1k,R50,R_0402_1005Metric,,1
0.1uF,C63,C_0402_1005Metric,,1
0.1uF,C59,C_0402_1005Metric,,1
5.1k,R20,R_0402_1005Metric,,1
