Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
2x5_2.54.1001,NC,IDC-Header_2x05_P2.54mm_Vertical,20.0152,28.2194,0.0,top
C10,0.1uF,C_0402_1005Metric,40.0558,2.8702,90.0,top
C1002,NC,C_0402_1005Metric,14.341789,34.426211,135.0,top
C1003,4.3pF,C_0402_1005Metric,5.334,29.845,180.0,top
C1005,10uF,C_0402_1005Metric,13.3858,28.6766,90.0,top
C1006,4.3pF,C_0402_1005Metric,5.0038,26.4414,0.0,top
C1007,1uF,C_0402_1005Metric,3.814136,23.505303,90.0,top
C1008,1uF,C_0402_1005Metric,12.145336,23.378303,-90.0,top
C1009,10uF,C_0402_1005Metric,14.3764,28.674,90.0,top
C1010,10uF,C_0402_6mil,13.3604,23.3426,-90.0,top
C1011,NC,C_0402_6mil,2.6162,25.0444,90.0,top
C1012,1uF,C_0402_6mil,10.164136,23.378303,-90.0,top
C1013,1uF,C_0402_6mil,11.154736,23.378303,-90.0,top
C11,0.1uF,C_0402_1005Metric,47.498,23.116,180.0,top
C12,4.3pF,C_0402_6mil,29.845,29.7528,90.0,top
C13,1uF,C_0402_1005Metric,33.909,32.2928,0.0,top
C14,4.3pF,C_0402_6mil,31.623,27.8478,0.0,top
C15,0.1uF,C_0402_1005Metric,42.037,29.972,90.0,top
C16,1uF,C_0402_1005Metric,45.085,33.528,-90.0,top
C17,0.1uF,C_0402_1005Metric,52.197,16.891,180.0,top
C18,0.1uF,C_0402_1005Metric,36.8554,23.114,0.0,top
C19,0.1uF,C_0402_1005Metric,52.197,15.748,180.0,top
C2,NC,C_0402_1005Metric,28.321,23.622,-90.0,top
C20,0.1uF,C_0402_1005Metric,38.735,23.114,0.0,top
C21,0.1uF,C_0402_1005Metric,43.9166,3.5814,90.0,top
C22,0.1uF,C_0402_1005Metric,41.7576,2.8702,90.0,top
C23,0.1uF,C_0402_1005Metric,32.131,9.4996,0.0,top
C24,10uF,C_0402_1005Metric,54.4576,14.986,180.0,top
C25,220pF,C_0402_1005Metric,13.335,6.858,90.0,top
C26,10uF,C_0402_1005Metric,15.875,7.366,180.0,top
C27,10uF,C_0402_1005Metric,15.875,6.35,180.0,top
C28,220pF,C_0402_1005Metric,7.62,2.413,90.0,top
C29,10uF,C_0402_1005Metric,5.2324,0.889,0.0,top
C30,10uF,C_0402_1005Metric,5.2324,-0.127,0.0,top
C31,10uF,C_0402_1005Metric,11.9126,0.381,90.0,top
C32,10uF,C_0402_1005Metric,10.7696,0.381,90.0,top
C33,10uF,C_0402_1005Metric,10.414,7.239,-90.0,top
C34,1uF,C_0402_1005Metric,11.811,7.239,-90.0,top
C35,220pF,C_0402_1005Metric,7.62,5.207,90.0,top
C36,10uF,C_0402_1005Metric,5.334,6.731,0.0,top
C37,10uF,C_0402_1005Metric,5.334,7.747,0.0,top
C38,10uF,C_0402_1005Metric,53.6448,16.4084,90.0,top
C39,1uF,C_0402_1005Metric,11.811,8.763,180.0,top
C4,10uF,C_0402_1005Metric,30.226,17.8562,0.0,top
C40,1uF,C_0402_1005Metric,11.3538,-1.0922,0.0,top
C41,10uF,C_0402_1005Metric,40.0558,0.9652,90.0,top
C42,0.1uF,C_0402_1005Metric,52.197,14.6304,180.0,top
C43,0.1uF,C_0402_1005Metric,32.131,8.1788,0.0,top
C44,10uF,C_0402_1005Metric,33.655,4.34416,0.0,top
C45,0.1uF,C_0402_1005Metric,33.655,5.36016,0.0,top
C46,1uF,C_0402_1005Metric,28.829,26.67,180.0,top
C47,10uF,C_0402_1005Metric,65.1764,1.905,90.0,top
C48,0.1uF,C_0402_1005Metric,72.009,6.985,180.0,top
C49,1uF,C_0402_1005Metric,34.417,27.5938,90.0,top
C5,0.1uF,C_0402_1005Metric,35.3822,3.6576,45.0,top
C50,1uF,C_0402_1005Metric,33.894,33.3088,0.0,top
