Comment,Designator,Footprint,LCSC,Quantity
10uF,C30,0402,,1
47k,R1003,0402,,1
NC,R7,0402,,1
33,R86,0402,,1
SW_DIP_x03,SW3,SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile,,1
2.49k,R16,0402,,1
2.49k,R55,0402,,1
0.1uF,C52,0402,,1
NC,C78,0402,,1
1.5uH,L4,L_NR3015,,1
0.1uF,C10,0402,,1
0.1uF,C21,0402,,1
4.7k,R41,0402,,1
33,R75,0402,,1
LED_GREEN,D3,LED_0603_1608Metric,,1
0.1uF,C20,0402,,1
NC,C79,0402,,1
"10k,1%",R5,0402,,1
10uF,C47,0402,,1
5.1k,R1002,0402,,1
XC6206-2.8,U5,SOT-23,,1
0R,L1001,L_0402_1005Metric,,1
5.1k,R69,0402,,1
33,R8,0402,,1
1uF,C13,0402,,1
1uF,C34,0402,,1
RJ45_HR911130A,J10,RJ45_HR911130A,,1
"10k,1%",R1,0402,,1
33,R9,0402,,1
SW_Push,SW2,SW-3x6mm_Hxx_SMD,,1
10uF,C68,0402,,1
1uF,C71,0402,,1
5.1k,R21,0402,,1
10uH,L1,L_NR3015,,1
Conn_02x05_Odd_Even,J1,PinHeader_2x05_P1.27mm_Vertical_SMD,,1
0.1uF,C6,0402,,1
1uF,C73,0402,,1
"20k,1%",R29,0402,,1
0.1uF,C64,0402,,1
OV5640,J7,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,,1
NC,X1,OSC_3225,,1
0.1uF,C11,0402,,1
220pF,C28,0402,,1
1uF,C50,0402,,1
YT8531C,U1,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,,1
1uF,C1012,0402,,1
1.5uH,L3,L_NR3015,,1
0.1uF,C48,0402,,1
NC,R52,0402,,1
8.06k,R89,0402,,1
XC6206-1.5,U8,SOT-23,,1
2.49k,R56,0402,,1
33,R74,0402,,1
4.3pF,C14,0402,,1
5.1k,R1001,0402,,1
0,R6,0402,,1
4.7k,R3,0402,,1
"10,1%",R65,0402,,1
Antenna_Shield,AE1001,Texas_SWRA117D_2.4GHz_Left,,1
0.1uF,C9,0402,,1
5.1k,R62,0402,,1
33k,R2,0402,,1
5.1k,R54,0402,,1
USB_C_Receptacle_USB2.0_16P,J2,USB_C_Receptacle_16P,,1
33,R70,0402,,1
USB_C_Receptacle_USB2.0_16P,J1001,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,1
5.1k,R68,0402,,1
10k,R80,0402,,1
10uF,C4,0402,,1
5.1k,R40,0402,,1
1N5819(S4),D8,D_SOD-323_BAT60,,1
10uF,C27,0402,,1
0.1uF,C1,0402,,1
"33k,1%",R30,0402,,1
5.1k,R48,0402,,1
10uF,C31,0402,,1
NC,C1002,0402,,1
1uF,C40,0402,,1
5.1k,R43,0402,,1
10uF,C37,0402,,1
0.1uF,C18,0402,,1
2.49k,R24,0402,,1
10uF,C33,0402,,1
33,R87,0402,,1
Conn_02x10_Odd_Even,CY_J2,PinSocket_2x10_P2.54mm_Vertical,,1
33,R83,0402,,1
1uF,C70,0402,,1
5.1k,R77,0402,,1
0.1uF,C66,0402,,1
NC,C1011,0402,,1
5.1k,R61,0402,,1
33,R85,0402,,1
26M,Y1,OSC_2016,,1
SW_Push,SW4,SW-3x6mm_Hxx_SMD,,1
1uF,C1008,0402,,1
10uF,C41,0402,,1
SY7201ABC,U4,SOT-23-6,,1
5.1k,R50,0402,,1
0.1uF,C63,0402,,1
0.1uF,C59,0402,,1
5.1k,R20,0402,,1
0.1uF,C42,0402,,1
0.1uF,C23,0402,,1
NC,Y2,OSC_3225,,1
220pF,C25,0402,,1
1uF,C16,0402,,1
H7P20N0L128-M3H1,U3,LQFP-128_14x14mm_P0.4mm_pad,,1
"33k,1%",R36,0402,,1
5.1k,R42,0402,,1
5.1k,R18,0402,,1
TestPoint,TP1,PinHeader_1x01_P1.00mm_Vertical,,1
0.1uF,C19,0402,,1
0.1uF,C43,0402,,1
"26M, 10PPM",Y1001,OSC_2016,,1
33,R11,0402,,1
2.49k,R38,0402,,1
LED_YELLOW,D4,LED_0603_1608Metric,,1
10uF,C57,0402,,1
10uF,C1009,0402,,1
4.3pF,C12,0402,,1
10uF,C58,0402,,1
4.3pF,C1003,0402,,1
10uF,C32,0402,,1
5.1k,R47,0402,,1
10uF,C1005,0402,,1
0R,L1003,L_0402_1005Metric,,1
AIC8800FC,U1001,QFN-36-1EP_4x4mm_P0.35mm_EP2.5x2.5mm,,1
220pF,C35,0402,,1
0.1uF,C62,0402,,1
"33k,1%",R34,0402,,1
33,R71,0402,,1
33,R72,0402,,1
P25Q80H/P25Q64H/P25Q128HA,U1002,USON-8-1EP_3x2mm_P0.5mm_EP1.6x02mm,,1
2.49k,R23,0402,,1
CJ3439KDW,U9,SOT-363_SC-70-6,,1
1uF,C75,0402,,1
2.49k,R39,0402,,1
"10k,1%",R79,0402,,1
0.1uF,C7,0402,,1
10uF,C1010,0402,,1
1.5uH,L5,L_NR3015,,1
"10,1%",R64,0402,,1
"4.7uH,MPL2012S4R7MHT",L1004,L_0805_2012Metric,,1
5.1k,R49,0402,,1
"20k,1%",R35,0402,,1
1uF,C46,0402,,1
0.1uF,C45,0402,,1
USB_A,J3,USB-AF_YIJIAN,,1
2.49k,R57,0402,,1
0.1uF,C53,0402,,1
0.1uF,C15,0402,,1
USB3343,U20,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,1
0.1uF,C17,0402,,1
LM2903A-VR,U18,MSOP-8_3x3mm_P0.65mm,,1
"10k,1%",R15,0402,,1
5.1k,R76,0402,,1
10uF,C24,0402,,1
0.1uF,C5,0402,,1
"1uF,50V",C69,0603,,1
10uF,C26,0402,,1
LM2903A-VR,U2,MSOP-8_3x3mm_P0.65mm,,1
"10k,1%",R44,0402,,1
"10k,1%",R90,0402,,1
10k,R63,0402,,1
SW_Push,SW1,SW-3x6mm_Hxx_SMD,,1
P25Q64SH-SSH-IR,U7,SOIC-8_P1.27mm_Common,,1
10uF,C44,0402,,1
Conn_02x10_Odd_Even,CY_J1,PinSocket_2x10_P2.54mm_Vertical,,1
1uF,C39,0402,,1
TestPoint,TP2,PinHeader_1x01_P1.00mm_Vertical,,1
1uF,C49,0402,,1
1uF,C77,0402,,1
NC,R53,0402,,1
0.1uF,C55,0402,,1
5.1k,R22,0402,,1
0.1uF,C8,0402,,1
2.49k,R27,0402,,1
10uF,C38,0402,,1
4.7k,R10,0402,,1
1uF,C76,0402,,1
1uF,C1007,0402,,1
4.3pF,C1006,0402,,1
