Comment,Designator,Footprint,LCSC,Quantity
Trigger,J6,PinHeader_1x02_P2.54mm_Vertical,,1
0.1uF,C50,0402,,1
"5.1k,1%",R13,0402,,1
"33k,1%",R38,0402,,1
"4.7k,1%",R9,0402,,1
0.1uF,C53,0402,,1
0.1uF,C18,0402,,1
10uF,C25,0402,,1
"20k,1%",R35,0402,,1
0.1uF,C41,0402,,1
USB_C_Receptacle_USB2.0_16P,J4,USB_C_Receptacle_16P,,1
TestPoint,TP15,PinHeader_1x01_P1.00mm_Vertical,,1
GSV332-MR,U2,MSOP-8_3x3mm_P0.65mm,,1
1uF,C38,0402,,1
TestPoint,TP16,TestPoint_Pad_D0.3mm,,1
LED_ABGR,D3,LED_RGB_Everlight_EASV3015RGBA0_Horizontal,,1
0.1uF,C51,0402,,1
4.7k,R17,0402,,1
"150k,1%",R32,0402,,1
0.1uF,C52,0402,,1
NC,C54,0402,,1
CY7C68013A-56LTX,U7,QFN-56-1EP_8x8mm_P0.5mm_EP4.5x5.2mm,,1
TestPoint,TP21,TestPoint_Pad_D0.3mm,,1
0.1uF,C61,0402,,1
"8.06k,1%",R30,0402,,1
TestPoint,TP18,TestPoint_Pad_D0.3mm,,1
0.1uF,C60,0402,,1
1uF,C36,0402,,1
24M,Y2,OSC_3225,,1
"10k,1%",R12,0402,,1
10uF,C13,0402,,1
"20k,1%",R40,0402,,1
24C32,U8,SOP-8_3.9x4.9mm_P1.27mm,,1
"4.7uH,MPL2012S4R7MHT",L3,L_0805_2012Metric,,1
H7P20N0L128-M3H1,U1,LQFP-128_14x14mm_P0.4mm_pad,,1
"20k,1%",R37,0402,,1
10uF,C37,0402,,1
220pF,C23,0402,,1
0.1uF,C59,0402,,1
0.1uF,C43,0402,,1
0.1uF,C3,0402,,1
"33k,1%",R33,0402,,1
USB_C_Receptacle_USB2.0_16P,J2,USB_C_Receptacle_16P,,1
CJ3439KDW,U9,SOT-363_SC-70-6,,1
"10k,1%",R5,0402,,1
4.7k,R23,0402,,1
TestPoint,TP17,TestPoint_Pad_D0.3mm,,1
0.1uF,C14,0402,,1
USB_A,J3,USB-AF_YIJIAN,,1
