Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C50,C_0402_1005Metric,,1
"5.1k,1%",R13,R_0402_1005Metric,,1
"10k,1%",R38,R_0402_1005Metric,,1
0.1uF,C53,C_0402_1005Metric,,1
TestPoint,TP15,PinHeader_1x01_P1.00mm_Vertical,,1
0.1uF,C18,C_0402_1005Metric,,1
NC,R27,R_0402_1005Metric,,1
10uF,C25,C_0402_1005Metric,,1
"20k,1%",R35,R_0402_1005Metric,,1
0.1uF,C41,C_0402_1005Metric,,1
NC,R29,R_0402_1005Metric,,1
USB_C_Receptacle_USB2.0_16P,J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,1
LM2903,U2,MSOP-8_3x3mm_P0.65mm,,1
NC,C38,C_0402_1005Metric,,1
TestPoint,TP16,TestPoint_Pad_D0.3mm,,1
0.1uF,C51,C_0402_1005Metric,,1
4.7k,R17,R_0402_1005Metric,,1
LED_GREEN,D6,LED_0603_1608Metric,,1
LED_BLUE,D3,LED_0603_1608Metric,,1
1uF,C40,C_0402_1005Metric,,1
"150k,1%",R32,R_0402_1005Metric,,1
0.1uF,C52,C_0402_1005Metric,,1
NC,C54,C_0402_1005Metric,,1
CY7C68013A-56LTX,U7,QFN-56-1EP_8x8mm_P0.5mm_EP4.5x5.2mm,,1
TestPoint,TP21,TestPoint_Pad_D0.3mm,,1
0.1uF,C61,C_0402_1005Metric,,1
TestPoint,TP14,PinHeader_1x01_P1.00mm_Vertical,,1
TestPoint,TP18,TestPoint_Pad_D0.3mm,,1
0.1uF,C60,C_0402_1005Metric,,1
1uF,C36,C_0402_1005Metric,,1
24M,Y2,OSC_3225,,1
"5.1k,1%",R12,R_0402_1005Metric,,1
10uF,C13,C_0402_1005Metric,,1
"5.1k,1%",R9,R_0402_1005Metric,,1
"20k,1%",R40,R_0402_1005Metric,,1
24C64BN,U8,SOP-8_3.9x4.9mm_P1.27mm,,1
"4.7uH,MPL2012S4R7MHT",L3,L_0805_2012Metric,,1
H7P20N0L128-M3H1,U1,LQFP-128_14x14mm_P0.4mm_pad,,1
NC,R37,R_0402_1005Metric,,1
10uF,C37,C_0402_1005Metric,,1
220pF,C23,C_0402_1005Metric,,1
USB3343,U5,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,1
0.1uF,C59,C_0402_1005Metric,,1
0.1uF,C43,C_0402_1005Metric,,1
"10k,1%",R8,R_0402_1005Metric,,1
0.1uF,C3,C_0402_1005Metric,,1
NC,C5,C_0402_1005Metric,,1
"33k,1%",R33,R_0402_1005Metric,,1
USB_C_Receptacle_USB2.0_16P,J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,1
CJ3439KDW,U9,SOT-363_SC-70-6,,1
"10k,1%",R5,R_0402_1005Metric,,1
4.7k,R23,R_0402_1005Metric,,1
0.1uF,C14,C_0402_1005Metric,,1
USB_A,J3,USB-AF-180,,1
0.1uF,C58,C_0402_1005Metric,,1
10uF,C27,C_0402_1005Metric,,1
10uF,C12,C_0402_1005Metric,,1
10uF,C22,C_0402_1005Metric,,1
1uF,C6,C_0402_1005Metric,,1
1uF,C9,C_0402_1005Metric,,1
0.1uF,C28,C_0402_1005Metric,,1
10uF,C20,C_0402_1005Metric,,1
"5.1k,1%",R36,R_0402_1005Metric,,1
0.1uF,C15,C_0402_1005Metric,,1
TestPoint,TP20,TestPoint_Pad_D0.3mm,,1
